London_Borough,Qualification_Code,Qualification_Type,Total
Hackney,6, Vocational or work-related qualifications,5361
Hammersmith and Fulham,6, Vocational or work-related qualifications,4273
Haringey,6, Vocational or work-related qualifications,6644
Harrow,6, Vocational or work-related qualifications,6764
Havering,6, Vocational or work-related qualifications,6278
Hillingdon,6, Vocational or work-related qualifications,8788
Hounslow,6, Vocational or work-related qualifications,9775
Islington,6, Vocational or work-related qualifications,4426
Kensington and Chelsea,6, Vocational or work-related qualifications,3826
Kingston upon Thames,6, Vocational or work-related qualifications,3603
Lambeth,6, Vocational or work-related qualifications,6263
Lewisham,6, Vocational or work-related qualifications,6187
Merton,6, Vocational or work-related qualifications,5334
Newham,6, Vocational or work-related qualifications,10478
Redbridge,6, Vocational or work-related qualifications,8701
Richmond upon Thames,6, Vocational or work-related qualifications,3201
Southwark,6, Vocational or work-related qualifications,6037
Sutton,6, Vocational or work-related qualifications,4719
Tower Hamlets,6, Vocational or work-related qualifications,7213
Waltham Forest,6, Vocational or work-related qualifications,7288
Wandsworth,6, Vocational or work-related qualifications,6564
Westminster,6, Vocational or work-related qualifications,5668
