Borough,Ethnicity,Total_Residents
Haringey,Asian Bangladeshi,4847
Harrow,Asian Bangladeshi,1824
Havering,Asian Bangladeshi,4779
Hillingdon,Asian Bangladeshi,4055
Hounslow,Asian Bangladeshi,2698
Islington,Asian Bangladeshi,5967
Kensington and Chelsea,Asian Bangladeshi,1483
Kingston upon Thames,Asian Bangladeshi,939
Lambeth,Asian Bangladeshi,2505
Lewisham,Asian Bangladeshi,1830
Merton,Asian Bangladeshi,2478
Newham,Asian Bangladeshi,55699
Redbridge,Asian Bangladeshi,31893
Richmond upon Thames,Asian Bangladeshi,915
Southwark,Asian Bangladeshi,5548
Sutton,Asian Bangladeshi,1783
Tower Hamlets,Asian Bangladeshi,107335
Waltham Forest,Asian Bangladeshi,5153
Wandsworth,Asian Bangladeshi,1642
Westminster,Asian Bangladeshi,7520
Barking and Dagenham,Asian Chinese,1378
Barnet,Asian Chinese,9395
Bexley,Asian Chinese,4002
Brent,Asian Chinese,3397
Bromley,Asian Chinese,5088
Camden,Asian Chinese,6720
City of London,Asian Chinese,544
Croydon,Asian Chinese,3914
Ealing,Asian Chinese,4540
Enfield,Asian Chinese,2679
Greenwich,Asian Chinese,7130
Hackney,Asian Chinese,3452
Hammersmith and Fulham,Asian Chinese,4242
Haringey,Asian Chinese,3861
Harrow,Asian Chinese,2781
Havering,Asian Chinese,2003
Hillingdon,Asian Chinese,3191
Hounslow,Asian Chinese,2678
Islington,Asian Chinese,5128
Kensington and Chelsea,Asian Chinese,3829
Kingston upon Thames,Asian Chinese,4118
Lambeth,Asian Chinese,5022
Lewisham,Asian Chinese,6301
Merton,Asian Chinese,3612
Newham,Asian Chinese,6218
Redbridge,Asian Chinese,2923
Richmond upon Thames,Asian Chinese,2789
Southwark,Asian Chinese,8390
Sutton,Asian Chinese,3983
Tower Hamlets,Asian Chinese,10295
Waltham Forest,Asian Chinese,2629
Wandsworth,Asian Chinese,4657
Westminster,Asian Chinese,6601
Barking and Dagenham,Asian Indian,11482
Barnet,Asian Indian,30397
Bexley,Asian Indian,10909
Brent,Asian Indian,66167
Bromley,Asian Indian,12311
Camden,Asian Indian,6933
City of London,Asian Indian,322
Croydon,Asian Indian,29562
Ealing,Asian Indian,54822
Enfield,Asian Indian,11881
Greenwich,Asian Indian,10132
Hackney,Asian Indian,8815
Hammersmith and Fulham,Asian Indian,4091
Haringey,Asian Indian,5851
Harrow,Asian Indian,74741
Havering,Asian Indian,11288
Hillingdon,Asian Indian,57367
Hounslow,Asian Indian,60829
Islington,Asian Indian,4042
Kensington and Chelsea,Asian Indian,3215
Kingston upon Thames,Asian Indian,7729
Lambeth,Asian Indian,6060
Lewisham,Asian Indian,5044
Merton,Asian Indian,9637
Newham,Asian Indian,38622
